,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners
10,Bruno Mars,2024-10-04,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
11,Bruno Mars,2024-10-05,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
12,Bruno Mars,2024-10-08,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
13,Bruno Mars,2024-10-09,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
14,Bruno Mars,2024-10-12,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
15,Bruno Mars,2024-10-13,2024,MORUMBIS,BRUNO MARS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,False,False
16,Coldplay,2023-03-10,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
17,Coldplay,2023-03-11,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
18,Coldplay,2023-03-13,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
19,Coldplay,2023-03-14,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
20,Coldplay,2023-03-17,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
21,Coldplay,2023-03-18,2023,ESTADIO DO MORUMBI,COLDPLAY,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,4gzpq5DPGxSnKTe4SA8HAU,POP,89.0,61164769.0,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,GENRE_1,False,False
22,Imagine Dragons,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,53XhwfbYqKCa1cC15pYq2q,ROCK,86.0,58517632.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,GENRE_1,False,False
23,Imagine Dragons,2025-10-31,2025,MORUMBIS,IMAGINE DRAGONS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,53XhwfbYqKCa1cC15pYq2q,ROCK,86.0,58517632.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,GENRE_1,False,False
24,Imagine Dragons,2025-11-01,2025,MORUMBIS,IMAGINE DRAGONS,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,53XhwfbYqKCa1cC15pYq2q,ROCK,86.0,58517632.0,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38,GENRE_1,False,False
25,Lana Del Rey,2023-06-03,2023,NOVO ANHANGABAU,LANA DEL REY,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,00FQb4jTyendYWaN8pK0wa,POP,89.0,52364576.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,GENRE_1,MITA FESTIVAL,LANA DEL REY
26,Olivia Rodrigo,2025-03-28,2025,AUTODROMO DE INTERLAGOS,OLIVIA RODRIGO,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,1McMsnEElThX1knmY4oliG,POP,86.0,49471454.0,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,GENRE_1,LOLLAPALOOZA,OLIVIA RODRIGO
27,Post Malone,2023-09-02,2023,AUTODROMO DE INTERLAGOS,POST MALONE,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,246dkjvS1zLTtiykXe5h60,"HIP HOP, POP",87.0,47812166.0,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,LETTER_1,THE TOWN,"POST MALONE, DEMI LOVATO"
28,Post Malone,2024-12-21,2024,NEO QUIMICA ARENA,POST MALONE,49000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.54534,-46.47476,246dkjvS1zLTtiykXe5h60,"HIP HOP, POP",87.0,47812166.0,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,LETTER_1,False,False
29,Dua Lipa,2022-09-08,2022,ARENA ANHEMBI,DUA LIPA,30000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,6M2wZ9GZgrQXHCFfjv46we,POP,87.0,47039248.0,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,GENRE_1,False,False
30,Dua Lipa,2025-11-15,2025,MORUMBIS,DUA LIPA,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,6M2wZ9GZgrQXHCFfjv46we,POP,87.0,47039248.0,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,GENRE_1,False,False
31,Maroon 5,2023-09-07,2023,AUTODROMO DE INTERLAGOS,MAROON 5,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,04gDigrS5kc9YWfZHwBETP,POP,86.0,45957983.0,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,GENRE_1,THE TOWN,"MAROON 5, THE CHAINSMOKERS"
32,Maroon 5,2022-04-05,2022,ALLIANZ PARQUE,MAROON 5,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,04gDigrS5kc9YWfZHwBETP,POP,86.0,45957983.0,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,GENRE_1,False,False
33,Shawn Mendes,2025-03-29,2025,AUTODROMO DE INTERLAGOS,SHAWN MENDES,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,7n2wHs1TKAczGzO7Dd2rGr,POP,82.0,45801371.0,https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535,GENRE_1,LOLLAPALOOZA,SHAWN MENDES
34,Kendrick Lamar,2023-11-05,2023,ALLIANZ PARQUE,KENDRICK LAMAR,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,2YZyLoL8N0Wb9xBt1NhZWg,"HIP HOP, WEST COAST HIP HOP",90.0,44936093.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,LETTER_1,False,False
35,Kendrick Lamar,2025-09-30,2025,ALLIANZ PARQUE,KENDRICK LAMAR,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,2YZyLoL8N0Wb9xBt1NhZWg,"HIP HOP, WEST COAST HIP HOP",90.0,44936093.0,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918,LETTER_1,False,False
36,Travis Scott,2025-09-06,2025,AUDIO,TRAVIS SCOTT,3200.0,MEDIAS CASAS,CASA DE SHOWS,-23.52822,-46.66968,0Y5tJX1MQlPlqiwlOH1tJY,RAP,90.0,41409574.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,LETTER_1,False,False
37,Travis Scott,2025-09-06,2025,AUTODROMO DE INTERLAGOS,TRAVIS SCOTT,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,0Y5tJX1MQlPlqiwlOH1tJY,RAP,90.0,41409574.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,LETTER_1,THE TOWN,TRAVIS SCOTT
38,Travis Scott,2024-09-11,2024,ALLIANZ PARQUE,TRAVIS SCOTT,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,0Y5tJX1MQlPlqiwlOH1tJY,RAP,90.0,41409574.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,LETTER_1,False,False
39,Travis Scott,2022-11-06,2022,DISTRITO ANHEMBI,TRAVIS SCOTT,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,0Y5tJX1MQlPlqiwlOH1tJY,RAP,90.0,41409574.0,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,LETTER_1,PRIMAVERA SOUND,"TRAVIS SCOTT, LORDE"
40,Alan Walker,2022-03-25,2022,AUTODROMO DE INTERLAGOS,ALAN WALKER,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,7vk5e3vY1uw9plTHJAMwjN,EDM,79.0,41332399.0,https://i.scdn.co/image/ab6761610000e5eb572a8eae56feae217f618078,LETTER_1,LOLLAPALOOZA,THE STROKES
41,Alan Walker,2023-04-21,2023,VALE DO ANHANGABAU,ALAN WALKER,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,7vk5e3vY1uw9plTHJAMwjN,EDM,79.0,41332399.0,https://i.scdn.co/image/ab6761610000e5eb572a8eae56feae217f618078,LETTER_1,ULTRA BRASIL,MASHMALLOW
42,J Balvin,2025-09-14,2025,AUTODROMO DE INTERLAGOS,J BALVIN,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,1vyhD5VmyZ7KMfW5gqLgo5,"REGGAETON, LATIN",87.0,39243150.0,https://i.scdn.co/image/ab6761610000e5eb0405b03342c2e56751b9923d,GENRE_2,THE TOWN,KATY PERRY
43,Katy Perry,2025-09-14,2025,AUTODROMO DE INTERLAGOS,KATY PERRY,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6jJ0s89eD6GaHleKKya26X,POP,85.0,38598993.0,https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663,GENRE_1,THE TOWN,KATY PERRY
44,Camila Cabello,2025-09-14,2025,AUTODROMO DE INTERLAGOS,CAMILA CABELLO,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,4nDoRrQiYLoBzwC5BhVJzF,POP,79.0,35664207.0,https://i.scdn.co/image/ab6761610000e5eb76470faf6330235edbcb90a9,GENRE_1,THE TOWN,KATY PERRY
45,Guns N’ Roses,2022-09-24,2022,ALLIANZ PARQUE,GUNS N' ROSES,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,3qm84nBOXUEQ2vnTfUTTFC,"ROCK, GLAM METAL, HARD ROCK, CLASSIC ROCK",81.0,35428207.0,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c,GENRE_1,False,False
46,Guns N’ Roses,2025-10-25,2025,ALLIANZ PARQUE,GUNS N' ROSES,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,3qm84nBOXUEQ2vnTfUTTFC,"ROCK, GLAM METAL, HARD ROCK, CLASSIC ROCK",81.0,35428207.0,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c,GENRE_1,False,False
47,Doja Cat,2022-03-24,2022,AUTODROMO DE INTERLAGOS,DOJA CAT,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,5cj0lLjcoR7YOSnhnX0Po5,RAP,87.0,34976945.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101,GENRE_1,False,False
48,Doja Cat,2022-03-25,2022,AUTODROMO DE INTERLAGOS,DOJA CAT,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,5cj0lLjcoR7YOSnhnX0Po5,RAP,87.0,34976945.0,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101,GENRE_1,LOLLAPALOOZA,THE STROKES
49,Marshmello,2023-04-21,2023,VALE DO ANHANGABAU,MARSHMELLO,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,64KEffDW9EtZ1y2vBYgq8T,EDM,81.0,34516532.0,https://i.scdn.co/image/ab6761610000e5eb3b2498dc8a8c6eceed0a2db3,LETTER_1,ULTRA BRASIL,MASHMALLOW
50,Harry Styles,2022-12-06,2022,ALLIANZ PARQUE,HARRY STYLES,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,6KImCVD70vtIoJWnq6nGn3,POP,81.0,34210950.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,GENRE_1,False,False
51,Harry Styles,2022-12-13,2022,ALLIANZ PARQUE,HARRY STYLES,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,6KImCVD70vtIoJWnq6nGn3,POP,81.0,34210950.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,GENRE_1,False,False
52,Harry Styles,2022-12-14,2022,ALLIANZ PARQUE,HARRY STYLES,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,6KImCVD70vtIoJWnq6nGn3,POP,81.0,34210950.0,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,GENRE_1,False,False
53,SZA,2024-03-24,2024,AUTODROMO DE INTERLAGOS,SZA,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,7tYKF4w9nC0nq9CsPZTHyP,R&B,88.0,33352641.0,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf,GENRE_2,LOLLAPALOOZA,"SZA, SAM SMITH"
54,Metallica,2022-05-10,2022,ESTADIO DO MORUMBI,METALLICA,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.600089,-46.720090,2ye2Wgw4gimLv2eAKyk1NB,"METAL, THRASH METAL, ROCK, HEAVY METAL, HARD ROCK",83.0,32388906.0,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44,GENRE_1,False,False
55,Arctic Monkeys,2022-11-05,2022,DISTRITO ANHEMBI,ARCTIC MONKEYS,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,7Ln80lUS6He07XvHI8qqHH,"INDIE, GARAGE ROCK",86.0,32297649.0,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,GENRE_1,PRIMAVERA SOUND,"ARCTIC MONKEYS, BJORK"
56,Linkin Park,2024-11-15,2024,ALLIANZ PARQUE,LINKIN PARK,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,6XyY86QOPPrYVGvF9ch6wz,"NU METAL, RAP METAL, ROCK, ALTERNATIVE METAL",89.0,32062825.0,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,GENRE_1,False,False
57,Linkin Park,2024-11-16,2024,ALLIANZ PARQUE,LINKIN PARK,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,6XyY86QOPPrYVGvF9ch6wz,"NU METAL, RAP METAL, ROCK, ALTERNATIVE METAL",89.0,32062825.0,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,GENRE_1,False,False
58,Linkin Park,2025-11-08,2025,MORUMBIS,LINKIN PARK,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,6XyY86QOPPrYVGvF9ch6wz,"NU METAL, RAP METAL, ROCK, ALTERNATIVE METAL",89.0,32062825.0,https://i.scdn.co/image/ab6761610000e5eb527d95dabbe8b8b527e8136f,GENRE_1,False,False
59,Rauw Alejandro,2025-10-22,2025,VIBRA SAO PAULO,RAUW ALEJANDRO,7000.0,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,-23.6475,-46.7239,1mcTU81TzQhprhouKaTkpq,"REGGAETON, URBANO LATINO, TRAP LATINO, LATIN",90.0,31366975.0,https://i.scdn.co/image/ab6761610000e5eb43ea45ccf08451d2511d33fa,GENRE_2,False,False
60,Henrique & Juliano,2025-07-05,2025,ALLIANZ PARQUE,HENRIQUE & JULIANO,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,3p7PcrEHaaKLJnPUGOtRlT,"SERTANEJO, SERTANEJO UNIVERSITARIO, ARROCHA, AGRONEJO",86.0,30383873.0,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,GENRE_1,False,False
61,Henrique & Juliano,2025-07-05,2025,ALLIANZ PARQUE,HENRIQUE & JULIANO,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,3p7PcrEHaaKLJnPUGOtRlT,"SERTANEJO, SERTANEJO UNIVERSITARIO, ARROCHA, AGRONEJO",86.0,30383873.0,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,GENRE_1,False,False
62,Henrique & Juliano,2021-12-17,2021,ESTADIO DO CANINDE,HENRIQUE & JULIANO,21000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.52019,-46.61875,3p7PcrEHaaKLJnPUGOtRlT,"SERTANEJO, SERTANEJO UNIVERSITARIO, ARROCHA, AGRONEJO",86.0,30383873.0,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,GENRE_1,False,False
63,Henrique & Juliano,2021-12-17,2021,ESTADIO DO CANINDE,HENRIQUE & JULIANO,21000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.52019,-46.61875,3p7PcrEHaaKLJnPUGOtRlT,"SERTANEJO, SERTANEJO UNIVERSITARIO, ARROCHA, AGRONEJO",86.0,30383873.0,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601,GENRE_1,False,False
64,Chris Brown,2024-12-21,2024,ALLIANZ PARQUE,CHRIS BROWN,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,7bXgB6jMjp9ATFy66eO08Z,R&B,88.0,28587137.0,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728,GENRE_2,False,False
65,Chris Brown,2024-12-22,2024,ALLIANZ PARQUE,CHRIS BROWN,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,7bXgB6jMjp9ATFy66eO08Z,R&B,88.0,28587137.0,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728,GENRE_2,False,False
66,Demi Lovato,2023-09-02,2023,AUTODROMO DE INTERLAGOS,DEMI LOVATO,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,6S2OmqARrzebs0tKUEyXyp,POP,79.0,27284586.0,https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb,GENRE_1,THE TOWN,"POST MALONE, DEMI LOVATO"
67,Demi Lovato,2022-08-30,2022,ESPACO UNIMED,DEMI LOVATO,8000.0,MEDIAS CASAS,CASA DE SHOWS,-23.52812,-46.66805,6S2OmqARrzebs0tKUEyXyp,POP,79.0,27284586.0,https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb,GENRE_1,False,False
68,Demi Lovato,2022-08-31,2022,ESPACO UNIMED,DEMI LOVATO,8000.0,MEDIAS CASAS,CASA DE SHOWS,-23.52812,-46.66805,6S2OmqARrzebs0tKUEyXyp,POP,79.0,27284586.0,https://i.scdn.co/image/ab6761610000e5eb42d7061876b87861d7c8f3fb,GENRE_1,False,False
69,Sabrina Carpenter,2023-11-24,2023,ALLIANZ PARQUE,SABRINA CARPENTER,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,74KM79TiuVKeVCqs8QtB0B,POP,92.0,27074990.0,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,GENRE_1,False,False
70,Sabrina Carpenter,2023-11-25,2023,ALLIANZ PARQUE,SABRINA CARPENTER,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,74KM79TiuVKeVCqs8QtB0B,POP,92.0,27074990.0,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,GENRE_1,False,False
71,Sabrina Carpenter,2023-11-26,2023,ALLIANZ PARQUE,SABRINA CARPENTER,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,74KM79TiuVKeVCqs8QtB0B,POP,92.0,27074990.0,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,GENRE_1,False,False
72,Sabrina Carpenter,2023-06-04,2023,NOVO ANHANGABAU,SABRINA CARPENTER,35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,74KM79TiuVKeVCqs8QtB0B,POP,92.0,27074990.0,https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455,GENRE_1,MITA FESTIVAL,FLORENCE + THE MACHINE
