Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,nome_local
6000.0,MEDIAS CASAS,CASA DE SHOWS,-23.6463,-46.7763,TERRA SP
7000.0,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,-23.6475,-46.7239,VIBRA SAO PAULO
8000.0,MEDIAS CASAS,CASA DE SHOWS,-23.52812,-46.66805,ESPACO UNIMED
8000.0,MEDIAS CASAS,CASA DE SHOWS,-23.5832,-46.6348,VILLA COUNTRY
8000.0,MEDIAS CASAS,AREA EXTERNA PARA EVENTOS,-23.5725,-46.4618,PARQUE DO CARMO
8000.0,MEDIAS CASAS,CASA DE SHOWS,-23.5156,-46.6820,ESPACO DAS AMERICAS
9000.0,MEDIAS CASAS,CASA DE SHOWS,-23.68026,-46.69805,SUHAI MUSIC HALL
10000.0,MEDIAS CASAS,GINASIO COBERTO,-23.57792595,-46.65613433,GINASIO DO IBIRAPUERA
10000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.6069,-46.7005,TRANSAMERICA EXPO CENTER
10000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.5269,-46.6531,CENTRO ESPORTIVO TIETE
10000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.5181,-46.6853,ESTADIO NICOLAU ALAYON
10000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.6862,-46.6225,ESTADIO MUNICIPAL DE DIADEMA
10000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.44418,-46.52400,ARENA GUARULHOS
10000.0,MEDIAS CASAS,CENTRO DE EVENTOS,-23.57058,-46.70035,JOCKEY CLUB
10000.0,MEDIAS CASAS,CENTRO DE EVENTOS,-23.57058,-46.70035,HIPODROMO DA CIDADE JARDIM
10000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.6069,-46.7005,PAVILHAO DO TRANSAMERICA EXPO CENTER
10000.0,MEDIAS CASAS,CENTRO DE EXPOSICOES,-23.6069,-46.7005,TRANSAMERICA EXPO CENTER
13000.0,MEDIAS CASAS,ESTADIO MULTIUSO,-23.5875,-46.6607,ESTADIO ICARO DE CASTRO MELO
15000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.5274091,-46.6656539,MEMORIAL DA AMERICA LATINA
15000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.6634,-46.5688,ESTANCIA ALTO DA SERRA
15000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.5213,-46.1859,ESTADIO MUNICIPAL DE MOGI DAS CRUZES
16000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.6301,-46.5599,ESTADIO ANACLETO CAMPANELLA
18000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.6694,-46.5092,ESTADIO BRUNO JOSE DANIEL
20000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.5363,-46.6428,ESTADIO CANINDE
20000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.6999,-46.5564,ESTADIO PRIMEIRO DE MAIO
20000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.5395,-46.7876,ESTADIO JOSE LIBERATTI
21000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.52019,-46.61875,ESTADIO DO CANINDE
25000.0,GRANDES CASAS,CENTRO DE EXPOSICOES,-23.5130,-46.6237,EXPO CENTER NORTE
30000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,ARENA ANHEMBI
30000.0,GRANDES CASAS,ESTADIO MULTIUSO,-23.5131,-46.8994,ARENA BARUERI
35000.0,GRANDES CASAS,CENTRO DE EVENTOS,-23.50983,-46.64055,ANHEMBI PARQUE
35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,DISTRITO ANHEMBI
35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,NOVO ANHANGABAU
35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.54429,-46.63623,VALE DO ANHANGABAU
35000.0,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,-23.51611,-46.64320,ANHEMBI
40000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.54825,-46.66580,ESTADIO DO PACAEMBU
