ano,popularidade,lotacao,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2025,65.0,45382.0,FIM DE SEMANA,ABRIL,0.25,11.0
2025,65.0,50000.0,DIA UTIL,OUTUBRO,43.5,11.0
2025,65.0,50000.0,FIM DE SEMANA,OUTUBRO,0.25,11.0
2022,64.0,12000.0,FIM DE SEMANA,MAIO,-157.5,9.0
2022,64.0,10000.0,FIM DE SEMANA,OUTUBRO,51.333333333333336,9.0
2024,64.0,7850.0,DIA UTIL,MAIO,193.33333333333331,9.0
2024,64.0,7000.0,FIM DE SEMANA,MAIO,0.6666666666666666,9.0
2025,74.0,3200.0,DIA UTIL,MARÇO,999.0,Outros
2024,64.0,2465.0,FIM DE SEMANA,SETEMBRO,-18.33333333333333,Outros
2022,67.0,2000.0,DIA UTIL,FEVEREIRO,-676.5,1.0
2022,67.0,6500.0,FERIADO NACIONAL,MARÇO,3.1666666666666665,1.0
2022,67.0,26428.57142857143,FIM DE SEMANA,ABRIL,-11.333333333333334,1.0
2022,67.0,4000.0,FIM DE SEMANA,MAIO,-382.0,1.0
2022,67.0,20000.0,DIA UTIL,JUNHO,-197.33333333333331,1.0
2022,67.0,50000.0,DIA UTIL,AGOSTO,-86.66666666666667,1.0
2022,67.0,7838.0,DIA UTIL,SETEMBRO,-66.5,1.0
2023,67.0,20000.0,FIM DE SEMANA,FEVEREIRO,58.0,1.0
2023,67.0,40000.0,FIM DE SEMANA,MAIO,-256.3333333333333,1.0
2023,67.0,20000.0,FIM DE SEMANA,MAIO,209.5,1.0
2023,67.0,17000.0,DIA UTIL,JUNHO,6.5,1.0
2023,67.0,8000.0,DIA UTIL,NOVEMBRO,85.4,1.0
2024,67.0,40000.0,FIM DE SEMANA,JANEIRO,59.5,1.0
2024,67.0,21188.0,FIM DE SEMANA,JUNHO,22.33333333333333,1.0
2024,67.0,8000.0,FIM DE SEMANA,OUTUBRO,84.25,1.0
2025,67.0,8000.0,DIA UTIL,JUNHO,118.5,1.0
2023,64.0,8000.0,DIA UTIL,NOVEMBRO,96.75,Outros
2022,64.0,55000.0,DIA UTIL,MAIO,-171.0,14.0
2023,84.0,10000.0,FIM DE SEMANA,FEVEREIRO,-476.0,1.0
2024,84.0,21188.0,FIM DE SEMANA,JUNHO,-100.6,1.0
2024,84.0,8000.0,DIA UTIL,NOVEMBRO,211.33333333333331,1.0
2022,81.0,45032.0,FIM DE SEMANA,SETEMBRO,-226.8,14.0
2025,81.0,49107.0,FIM DE SEMANA,OUTUBRO,563.5,14.0
2022,72.0,10000.0,FIM DE SEMANA,JANEIRO,-679.0,10.0
2022,72.0,45000.0,FIM DE SEMANA,AGOSTO,-57.25,10.0
2023,72.0,7000.0,DIA UTIL,ABRIL,-313.3333333333333,10.0
2023,72.0,90000.0,FIM DE SEMANA,AGOSTO,114.8,10.0
2024,72.0,24000.0,FIM DE SEMANA,AGOSTO,121.33333333333331,10.0
2025,72.0,6000.0,FIM DE SEMANA,NOVEMBRO,268.3333333333333,10.0
2022,79.0,49250.0,FIM DE SEMANA,NOVEMBRO,-431.0,10.0
2024,79.0,80000.0,FIM DE SEMANA,DEZEMBRO,-7.0,10.0
2024,79.0,33921.0,FIM DE SEMANA,DEZEMBRO,378.0,10.0
2023,82.0,35000.0,FIM DE SEMANA,NOVEMBRO,117.6,6.0
2022,81.0,45670.0,DIA UTIL,DEZEMBRO,-506.5,6.0
2022,81.0,45669.0,DIA UTIL,DEZEMBRO,2.333333333333333,6.0
2022,81.0,45669.0,DIA UTIL,DEZEMBRO,0.3333333333333333,6.0
2022,61.0,8000.0,FIM DE SEMANA,OUTUBRO,-49.0,Outros
2022,61.0,8000.0,FIM DE SEMANA,OUTUBRO,0.25,Outros
2025,86.0,42959.0,FIM DE SEMANA,JULHO,199.8,10.0
2025,83.0,8000.0,DIA UTIL,MAIO,108.25,6.0
2023,73.0,25000.0,FIM DE SEMANA,MAIO,499.5,Outros
2023,86.0,49085.0,DIA UTIL,FEVEREIRO,166.5,14.0
2025,86.0,60000.0,DIA UTIL,OUTUBRO,488.0,14.0
2025,86.0,60000.0,FIM DE SEMANA,NOVEMBRO,0.5,14.0
2023,62.0,2500.0,DIA UTIL,NOVEMBRO,199.8,Outros
2025,70.0,8648.0,DIA UTIL,ABRIL,63.833333333333336,4.0
2024,63.0,2600.0,DIA UTIL,JUNHO,-80.0,Outros
2024,63.0,2573.0,FIM DE SEMANA,JUNHO,0.5,Outros
2022,73.0,56316.0,FIM DE SEMANA,SETEMBRO,-275.0,0.0
2024,73.0,43312.0,DIA UTIL,DEZEMBRO,199.8,0.0
2024,73.0,43000.0,FIM DE SEMANA,DEZEMBRO,0.2,0.0
2024,72.0,8000.0,DIA UTIL,JUNHO,104.6,9.0
2022,65.0,8000.0,FIM DE SEMANA,ABRIL,199.8,8.0
2022,65.0,20000.0,FERIADO NACIONAL,JUNHO,-395.0,8.0
2023,65.0,17000.0,FERIADO NACIONAL,JUNHO,-435.0,8.0
2023,65.0,30160.0,FIM DE SEMANA,SETEMBRO,78.5,8.0
2025,65.0,9000.0,DIA UTIL,AGOSTO,201.25,8.0
2025,65.0,10000.0,FIM DE SEMANA,OUTUBRO,189.0,8.0
2022,61.0,12000.0,FIM DE SEMANA,MAIO,-270.0,1.0
2022,61.0,10000.0,FIM DE SEMANA,DEZEMBRO,102.0,1.0
2023,61.0,40000.0,FIM DE SEMANA,NOVEMBRO,-339.5,1.0
2024,70.0,3000.0,DIA UTIL,NOVEMBRO,298.5,Outros
