nome,generos,popularidade,seguidores,imagem,genero_cluster
TWICE,K-POP,83,23523182,https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864,9.0
ARMAAN MALIK,BOLLYWOOD,72,23480974,https://i.scdn.co/image/ab6761610000e5eb304d3dd0ed0fef6a64ba1dd7,2.0
AVICII,EDM,80,23456523,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113,Outros
GUSTTAVO LIMA,SERTANEJO,79,23371108,https://i.scdn.co/image/ab6761610000e5eb08cacf062848b7318679b1b4,10.0
RED HOT CHILI PEPPERS,FUNK ROCK,84,23344771,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8,Outros
CALVIN HARRIS,EDM,85,23107073,https://i.scdn.co/image/ab6761610000e5eb1e4bcd2bef1896648762dd6b,Outros
KARAN AUJLA,PUNJABI POP,82,23027750,https://i.scdn.co/image/ab6761610000e5eb8a4c60d0eebe893f72e42979,2.0
ZE NETO & CRISTIANO,SERTANEJO,80,22937866,https://i.scdn.co/image/ab6761610000e5ebc76b86b0ae0aec212d7eea0f,10.0
FUTURE,RAP,89,22847812,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,12.0
PINK FLOYD,PROGRESSIVE ROCK,80,22815330,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c,Outros
2PAC,OLD SCHOOL HIP HOP,79,22706005,https://i.scdn.co/image/ab6761610000e5eb7f5cc432c9c109248ebec1ac,2.0
SONU NIGAM,KANNADA POP,79,22669552,https://i.scdn.co/image/ab6761610000e5ebbc959d7569618ec2af2210f5,2.0
HALSEY,POP,82,22444334,https://i.scdn.co/image/ab6761610000e5eb15136101a0f63f0b2800b9dc,6.0
S. P. BALASUBRAHMANYAM,TELUGU POP,81,22367083,https://i.scdn.co/image/ab6761610000e5ebea2b56271cf92bcff45c0ae9,2.0
MELANIE MARTINEZ,POP,76,22244787,https://i.scdn.co/image/ab6761610000e5eb77ecd63aaebe2225b07c89f0,6.0
MYKE TOWERS,REGGAETON,86,22168748,https://i.scdn.co/image/ab6761610000e5eb8372345609bebaf1e948ef7f,Outros
GURU RANDHAWA,BHANGRA,74,22145628,https://i.scdn.co/image/ab6761610000e5eb531f6fb5759f44e7c3d707d6,2.0
THE NEIGHBOURHOOD,INDIE,86,21823328,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816,Outros
UDIT NARAYAN,BOLLYWOOD,82,21808284,https://i.scdn.co/image/ab6761610000e5eb8de0e6e7e55d7773931ab7f4,2.0
NATANAEL CANO,CORRIDOS TUMBADOS,85,21807160,https://i.scdn.co/image/ab6761610000e5eb0d4838ef7ef6c0f889266f60,2.0
LIL BABY,HIP HOP,86,21797103,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd,Outros
KK,BOLLYWOOD,78,21753062,https://i.scdn.co/image/ab6761610000e5ebb09a31f853166e721d4d46b2,2.0
THE CHAINSMOKERS,EDM,81,21398553,https://i.scdn.co/image/ab6761610000e5eb4567279fac84a0375c3d819b,Outros
JUBIN NAUTIYAL,BHAJAN,76,21362619,https://i.scdn.co/image/ab6761610000e5eb716a9e718655bd0374073ef7,2.0
KUMAR SANU,BOLLYWOOD,79,21301190,https://i.scdn.co/image/ab6761610000e5ebc7d2a4212ee745b2c72298e0,2.0
STRAY KIDS,K-POP,85,21247892,https://i.scdn.co/image/ab6761610000e5ebf9887d2c9288f0e50a3fd69f,9.0
JAMES ARTHUR,SOFT POP,80,20921667,https://i.scdn.co/image/ab6761610000e5eb5a55e66595e80fb12dc5f5fa,Outros
ALKA YAGNIK,BOLLYWOOD,82,20726691,https://i.scdn.co/image/ab6761610000e5eb935b2dd507212bd72a71d7f9,2.0
LUIS MIGUEL,MARIACHI,83,20707647,https://i.scdn.co/image/ab6761610000e5eb6481401e529e475116702a29,Outros
NICKY JAM,REGGAETON,82,20682023,https://i.scdn.co/image/ab6761610000e5eb45780f160ed896e42b6d17b0,Outros
KISHORE KUMAR,GHAZAL,77,20543703,https://i.scdn.co/image/ab6761610000e5ebc9ac92d87de28795c1c49730,2.0
CAMILO,COLOMBIAN POP,79,20486833,https://i.scdn.co/image/ab6761610000e5ebadd0f250a8602d9bb093161f,2.0
FRANK OCEAN,INDIE,85,20457070,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab,Outros
FUERZA REGIDA,CORRIDO,91,20447270,https://i.scdn.co/image/ab6761610000e5eb158a3d24a31166b983e26325,2.0
V,K-POP,76,20136722,https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2,9.0
SID SRIRAM,TOLLYWOOD,77,19994053,https://i.scdn.co/image/ab6761610000e5ebef6a8800763bf428e85940a6,2.0
CARTEL DE SANTA,MEXICAN HIP HOP,78,19612591,https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7,2.0
J-HOPE,K-POP,79,19349479,https://i.scdn.co/image/ab6761610000e5eb25c2401c3595f0ac35e19b98,9.0
LIL UZI VERT,MELODIC RAP,83,19332826,https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9,Outros
TULUS,INDONESIAN POP,74,19289947,https://i.scdn.co/image/ab6761610000e5eb53462891ab7799f2934b568e,2.0
BANDA MS DE SERGIO LIZARRAGA,BANDA,80,19226663,https://i.scdn.co/image/ab6761610000e5ebf49a3377cacbeb4fc157949d,2.0
MAHALINI,INDONESIAN POP,73,19126714,https://i.scdn.co/image/ab6761610000e5ebd3564043a332daaa882853d6,2.0
50 CENT,EAST COAST HIP HOP,84,19065655,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,Outros
FEID,REGGAETON,87,19042214,https://i.scdn.co/image/ab6761610000e5eb600ee3d2a14da8d038fa7bbf,Outros
ONEREPUBLIC,SOFT POP,82,18778229,https://i.scdn.co/image/ab6761610000e5eb587687df50a967731901fcc2,Outros
JUNG KOOK,K-POP,81,18747443,https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960,9.0
BIZARRAP,ARGENTINE TRAP,81,18287480,https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913,2.0
P!NK,POP ROCK,79,18248675,https://i.scdn.co/image/ab6761610000e5eb7bbad89a61061304ec842588,Outros
LIL WAYNE,RAP,87,18073707,https://i.scdn.co/image/ab6761610000e5eb998010cd1075921b5faf16b2,12.0
ARCANGEL,REGGAETON,84,17949878,https://i.scdn.co/image/ab6761610000e5eb188fba614da521f737b24f9e,Outros
BRITNEY SPEARS,POP,82,17906350,https://i.scdn.co/image/ab6761610000e5eb26e59b825251b7df20a7b65e,6.0
RM,K-POP,71,17777206,https://i.scdn.co/image/ab6761610000e5eb847fe9bbfef3acf7981acd2a,9.0
SUNIDHI CHAUHAN,BOLLYWOOD,76,17637402,https://i.scdn.co/image/ab6761610000e5eba45f7ef3e1c982461f2dad6b,2.0
CIGARETTES AFTER SEX,DREAM POP,85,17557432,https://i.scdn.co/image/ab6761610000e5eb1c312be98c615df97ea79a30,Outros
CARIN LEON,BANDA,84,17549199,https://i.scdn.co/image/ab6761610000e5eb69543997b9f68a0d2bb37a4a,2.0
GREEN DAY,PUNK,81,17427311,https://i.scdn.co/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb,Outros
A$AP ROCKY,RAP,83,17425229,https://i.scdn.co/image/ab6761610000e5eb5c58c41a506a0d6b32cc6cad,12.0
FARRUKO,REGGAETON,83,17126099,https://i.scdn.co/image/ab6761610000e5eb69c46f8a2fe8114da9170aca,Outros
YUVAN SHANKAR RAJA,TAMIL POP,75,17107887,https://i.scdn.co/image/ab6761610000e5ebe60d7a790ebea50d205bda93,2.0
G. V. PRAKASH,TAMIL POP,76,16988972,https://i.scdn.co/image/ab6761610000e5eb0a5c692089af5c0f9cf839f3,2.0
KHALID,HIP HOP,83,16978192,https://i.scdn.co/image/ab6761610000e5eb8f77c3eddc1869e9542b04bc,Outros
BECKY G,REGGAETON,75,16718213,https://i.scdn.co/image/ab6761610000e5eb1b7aaeedafb29af4c513ebd3,Outros
DON OMAR,REGGAETON,84,16550079,https://i.scdn.co/image/ab6761610000e5ebc9154bd840cd45e769c4e480,Outros
