data,ano,nome_local,nome,Categoria_Local,Tipo_Espaco,Latitude,Longitude,generos,popularidade,seguidores,festival,lotacao,setor,preco,preco_medio,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct,arrecadacao_estimada,distancia_dias_anterior
2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80724.0,Pista Premium,1250.0,802.0,VIP,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.2048358208955223,100905000.0,0.0
2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80724.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.2048358208955223,62964720.0,0.0
2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80724.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.2048358208955223,69422640.0,0.0
2024-10-08,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80724.0,Arquibancada,470.0,802.0,COMUM,TERCA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.2048358208955223,37940280.0,0.0
2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.204820895522388,52469950.0,1.0
2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.204820895522388,100903750.0,0.0
2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.204820895522388,62963940.0,0.0
2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.204820895522388,69421780.0,0.0
2024-10-09,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,QUARTA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.204820895522388,37939810.0,0.0
2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,1.204820895522388,52469950.0,3.0
2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,1.204820895522388,100903750.0,0.0
2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Inferior,780.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,1.204820895522388,62963940.0,0.0
2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Cadeira Superior,860.0,802.0,INTERMEDIARIO,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,1.204820895522388,69421780.0,0.0
2024-10-12,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Arquibancada,470.0,802.0,COMUM,SABADO,FIM DE SEMANA,CHUVISCO MODERADO,OUTUBRO,1.204820895522388,37939810.0,0.0
2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista,650.0,802.0,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,52469950.0,1.0
2024-10-13,2024,MORUMBIS,BRUNO MARS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,R&B,91.0,76055599.0,False,80723.0,Pista Premium,1250.0,802.0,VIP,DOMINGO,FIM DE SEMANA,CHUVISCO LEVE,OUTUBRO,1.204820895522388,100903750.0,0.0
