,artista,data,ano,nome_local,nome,Capacidade,Categoria_Local,Tipo_Espaco,Latitude,Longitude,id_spotify,generos,popularidade,seguidores,imagem,fonte,festival,headliners,lotacao,setor,preco,preco_medio,nome_setores,Setor_id,Nome_Setor,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,lotacao_pct
20,The Weeknd,2023-10-10,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Cadeira Superior,460.0,620.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVISCO LEVE,OUTUBRO,1.0666666666666667
21,The Weeknd,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Pista Premium,750.0,620.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667
22,The Weeknd,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Cadeira Inferior,650.0,620.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667
23,The Weeknd,2023-10-11,2023,ALLIANZ PARQUE,THE WEEKND,45000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.5276207,-46.6784662,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,48000.0,Cadeira Superior,460.0,620.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,QUARTA-FEIRA,DIA UTIL,NUBLADO,OUTUBRO,1.0666666666666667
24,The Weeknd,2024-09-07,2024,MORUMBIS,THE WEEKND,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,64319.0,Pista Premium,700.0,710.0,PISTA PREMIUM,S002,PISTA PREMIUM,VIP,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657
25,The Weeknd,2024-09-07,2024,MORUMBIS,THE WEEKND,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,64319.0,Cadeira Inferior,800.0,710.0,CADEIRA INFERIOR,S004,CADEIRA INFERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657
26,The Weeknd,2024-09-07,2024,MORUMBIS,THE WEEKND,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,64319.0,Cadeira Superior,850.0,710.0,CADEIRA SUPERIOR,S006,CADEIRA SUPERIOR,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657
27,The Weeknd,2024-09-07,2024,MORUMBIS,THE WEEKND,67000.0,ARENAS E ESTADIOS,ESTADIO MULTIUSO,-23.60077,-46.72010,1Xyo4u8uXC1ZmMpatF05PJ,POP,95.0,113983998.0,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,GENRE_2,False,False,64319.0,Arquibancada,490.0,710.0,ARQUIBANCADA,S011,ARQUIBANCADA,COMUM,SABADO,FIM DE SEMANA,NUBLADO,SETEMBRO,0.9599850746268657
28,Bruno Mars,2023-09-03,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,THE TOWN,"BRUNO MARS, BEBE REXHA",100000.0,Pista,815.0,815.0,PISTA,S001,PISTA,COMUM,DOMINGO,FIM DE SEMANA,CHUVISCO INTENSO,SETEMBRO,1.0
29,Bruno Mars,2023-09-10,2023,AUTODROMO DE INTERLAGOS,BRUNO MARS,100000.0,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,-23.7000,-46.6972,0du5cEVh5yTK9QJze8zA0C,R&B,91.0,76055599.0,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,GENRE_1,THE TOWN,"BRUNO MARS, H.E.R",100000.0,Pista,815.0,815.0,PISTA,S001,PISTA,COMUM,DOMINGO,FIM DE SEMANA,NUBLADO,SETEMBRO,1.0
