nome,id_spotify,generos,popularidade,seguidores,imagem,fonte
LUDMILLA,3CDoRporvSjdzTrm99a3gi,"pagode, brazilian pop, funk pop, brazilian funk, pagode baiano, funk carioca",74,8374022,https://i.scdn.co/image/ab6761610000e5eba021927cf2c740f6c968e29f,nova consulta
Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,"nu metal, rap metal, alternative metal, rap rock",80,8305434,https://i.scdn.co/image/4654955890cb62a6abe9daadfd2b3ecdee8036e4,nova consulta
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,,71,8199098,https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76,nova consulta
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,k-pop,81,8185571,https://i.scdn.co/image/ab6761610000e5eb9095683b555d7c16fd3b633f,nova consulta
The Smiths,3yY2gUcIsjMr8hjo51PoJ8,"new wave, madchester, jangle pop",79,7826659,https://i.scdn.co/image/481b980af463122013e4578c08fb8c5cbfaed1e9,nova consulta
Trey Songz,2iojnBLj0qIMiKPvVhLnsH,r&b,71,7759778,https://i.scdn.co/image/ab6761610000e5ebc7b9e9a3adcc3f5cbc92fb0b,nova consulta
7 Minutoz,2563ILWHSx52eOxOoi5rJW,"anime rap, anime",65,7740111,https://i.scdn.co/image/ab6761610000e5eb9aeb71d29f736120ddc00620,nova consulta
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,"metal, glam metal, heavy metal, hard rock",76,7680565,https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306,nova consulta
ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,"mpb, nova mpb, brazilian pop",73,7480017,https://i.scdn.co/image/ab6761610000e5eb7bf0675e8644f27233931f91,nova consulta
Depeche Mode,762310PdDnwsDxAQxzQkfX,"new wave, synthpop, darkwave",75,7429613,https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c,nova consulta
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,"psychedelic rock, classic rock, acid rock, blues rock",68,7398722,https://i.scdn.co/image/ab6761610000e5eb90c8b988fa6e6b40e0d0bf81,nova consulta
Ciara,2NdeV5rLm47xAvogXrYhJX,,71,7369202,https://i.scdn.co/image/ab6761610000e5eb5d1fbc6d7d17e7ba6b587eaf,nova consulta
Legião Urbana,6tw6EpC9RgmSRZiZg0n22t,"brazilian rock, mpb, brazilian pop",70,7297331,https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42,nova consulta
MC Kevinho,1mXAhKnZEdF6rotyyd4GBi,"brazilian funk, funk pop",64,7022367,https://i.scdn.co/image/ab6761610000e5eb86190b5139bb76e03b0d35b1,nova consulta
Freddie Mercury,4M1FpEWs2PeYfJe7xxJfhH,,59,7008639,https://i.scdn.co/image/ab6761610000e5eb1052b77abd7f89485562d797,nova consulta
Bruno & Marrone,5JXhkyafynxCvxtov7C1PV,"sertanejo, sertanejo tradicional, sertanejo universitário",75,6920778,https://i.scdn.co/image/ab6761610000e5eb89ab81f9f79756a4127d6224,nova consulta
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,"glam metal, classic rock, rock, hard rock",72,6884741,https://i.scdn.co/image/ab6761610000e5ebd8475001d2700686e1008dfb,nova consulta
Ado,6mEQK9m2krja6X1cfsAjfl,"j-pop, anime, vocaloid, j-rock",76,6818163,https://i.scdn.co/image/ab6761610000e5ebbcb1c184c322688f10cdce7a,nova consulta
The Cure,7bu3H8JO7d0UbMoVzbo70s,"new wave, post-punk, gothic rock, darkwave",77,6718585,https://i.scdn.co/image/ab6761610000e5ebdd427c765c409ec02dc3a868,nova consulta
GOT7,6nfDaffa50mKtEOwR8g4df,k-pop,62,6701303,https://i.scdn.co/image/ab6761610000e5eb51636490d389e8d2ab96026e,nova consulta
Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,"brazilian pop, funk pop, brazilian funk",73,6634171,https://i.scdn.co/image/ab6761610000e5eb29651ca8a99a50f86e36a699,nova consulta
Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,"pagode, samba",76,6361386,https://i.scdn.co/image/ab6761610000e5ebd25f86760d4360b22f8696da,nova consulta
IVE,6RHTUrRF63xao58xh9FXYJ,k-pop,72,6333030,https://i.scdn.co/image/ab6761610000e5eba9c8608865ca7eded5520359,nova consulta
The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,,71,6314692,https://i.scdn.co/image/ab6761610000e5eb292575f7d081016e04dff9ee,nova consulta
Zé Vaqueiro,5K8Rmjmf4RZFffz94EmBRt,"piseiro, forró, sertanejo, arrocha, brega, seresta",69,6257145,https://i.scdn.co/image/ab6761610000e5eb8883394e7e37041127647a2a,nova consulta
Megadeth,1Yox196W7bzVNZI7RBaPnf,"thrash metal, metal, heavy metal, speed metal",71,6200179,https://i.scdn.co/image/ab6761610000e5ebd5233fdc8cad84de5b366f1b,nova consulta
The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,"alternative rock, rock",75,6132631,https://i.scdn.co/image/ab6761610000e5eba7f80939b43d9efe1ca73a22,nova consulta
Akon,0z4gvV4rjIZ9wHck67ucSV,,83,6092110,https://i.scdn.co/image/ab6761610000e5eb8c5984726ddb2c2d90ada28d,nova consulta
Deep Purple,568ZhdwyaiCyOGJRtNYhWf,"hard rock, classic rock, rock",67,6013341,https://i.scdn.co/image/ab6761610000e5eb3a475812e97ee788cfd5fd1a,nova consulta
KATSEYE,3c0gDdb9lhnHGFtP4prQpn,k-pop,84,5937017,https://i.scdn.co/image/ab6761610000e5eb484e326315e09b3f382a7960,nova consulta
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,"classical, opera, requiem, classical piano, chamber music",76,5928957,https://i.scdn.co/image/ab6761610000e5eb7fa9108c6dadb8c3ec21da88,nova consulta
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,"southern rock, classic rock, rock",74,5925411,https://i.scdn.co/image/ab6761610000e5eb3d3ff3d4ebad10d2d2724470,nova consulta
The Who,67ea9eGLXYMsO2eYQRui3w,"classic rock, rock",67,5850708,https://i.scdn.co/image/ab6772690000c46c456d5397bdf11547ef38ca93,nova consulta
Cristiano Araújo,4HF14RSTZQcEafvfPCFEpI,"sertanejo, sertanejo universitário, arrocha",65,5772050,https://i.scdn.co/image/ab6761610000e5ebf38f954f74a726b4b6cf2147,nova consulta
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,"classical, classical piano, chamber music",72,5740196,https://i.scdn.co/image/ab6761610000e5eba636b0b244253f602a629796,nova consulta
HWASA,7bmYpVgQub656uNTu6qGNQ,k-pop,61,5664335,https://i.scdn.co/image/ab6761610000e5eb8f9fae0a4883b92545cabe60,nova consulta
