ano,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,lotacao,preco_medio,dia_semana,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2025,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,K-POP,63.0,2841768.0,7000.0,1190.0,DOMINGO,FIM DE SEMANA,JUNHO,0.16666666666666666,9.0
2024,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,K-POP,60.0,692856.0,6800.0,1001.6666666666666,TERCA-FEIRA,DIA UTIL,MARÇO,-85.42857142857143,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,ALTERNATIVE ROCK,73.0,5656158.0,4000.0,426.0,SEXTA-FEIRA,DIA UTIL,SETEMBRO,-157.2,3.0
2022,MEDIAS CASAS,CASA DE SHOWS,POWER METAL,60.0,385395.0,8000.0,332.5,SEXTA-FEIRA,DIA UTIL,OUTUBRO,-49.5,Outros
2023,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,ANTI-FOLK,65.0,1721742.0,50000.0,1495.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,499.5,Outros
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,PAGODE,70.0,2190356.0,40000.0,666.6666666666666,SABADO,FIM DE SEMANA,ABRIL,-40.5,1.0
2023,MEDIAS CASAS,CASA DE SHOWS,POP,66.0,2667856.0,8000.0,585.0,SEXTA-FEIRA,DIA UTIL,MARÇO,-214.5,6.0
2025,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,ROCK,72.0,2491597.0,7800.0,622.5,SABADO,FIM DE SEMANA,NOVEMBRO,84.0,14.0
2022,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,BRAZILIAN HIP HOP,74.0,2335530.0,34000.0,440.0,SABADO,FIM DE SEMANA,JUNHO,-588.5,9.0
2023,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,74.0,2335530.0,2500.0,80.0,SABADO,FIM DE SEMANA,JANEIRO,-513.0,9.0
2023,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,74.0,2335530.0,7500.0,540.0,DOMINGO,FIM DE SEMANA,ABRIL,96.0,9.0
2025,MEDIAS CASAS,CASA DE SHOWS,BRAZILIAN HIP HOP,74.0,2335530.0,8000.0,225.0,DOMINGO,FIM DE SEMANA,JULHO,277.6666666666667,9.0
2022,MEDIAS CASAS,CASA DE SHOWS,GROOVE METAL,63.0,1834654.0,3200.0,420.0,DOMINGO,FIM DE SEMANA,OUTUBRO,-47.0,Outros
2024,MEDIAS CASAS,CASA DE SHOWS,EMO,61.0,2097472.0,5500.0,420.0,TERCA-FEIRA,DIA UTIL,MARÇO,12.0,Outros
2022,MEDIAS CASAS,CASA DE SHOWS,ROCK,69.0,2432523.0,3500.0,305.0,SABADO,FIM DE SEMANA,NOVEMBRO,-218.4,14.0
2022,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,BRAZILIAN TRAP,67.0,1981305.0,42000.0,440.0,DOMINGO,FIM DE SEMANA,JUNHO,-1175.0,8.0
2025,MEDIAS CASAS,CASA DE SHOWS,ACOUSTIC POP,67.0,3046224.0,2800.0,175.0,TERCA-FEIRA,DIA UTIL,NOVEMBRO,999.0,Outros
2022,MEDIAS CASAS,TEATRO E CASA DE ESPETACULOS,METALCORE,78.0,6663555.0,4000.0,480.0,SEXTA-FEIRA,DIA UTIL,DEZEMBRO,-0.5,0.0
2022,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,METALCORE,78.0,6663555.0,45000.0,900.0,DOMINGO,FIM DE SEMANA,DEZEMBRO,-713.0,0.0
2024,MEDIAS CASAS,CASA DE SHOWS,METALCORE,78.0,6663555.0,3200.0,420.0,QUINTA-FEIRA,DIA UTIL,NOVEMBRO,499.5,0.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,METALCORE,78.0,6663555.0,46572.0,480.0,SABADO,FIM DE SEMANA,NOVEMBRO,0.5,0.0
2022,ARENAS E ESTADIOS,ESTADIO MULTIUSO,SERTANEJO,74.0,6907725.0,45000.0,4533.666666666667,SABADO,FIM DE SEMANA,DEZEMBRO,-154.0,10.0
2023,ARENAS E ESTADIOS,AREA EXTERNA PARA EVENTOS,SERTANEJO,74.0,6907725.0,90000.0,258.0,SABADO,FIM DE SEMANA,AGOSTO,42.0,10.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80723.0,802.0,SEXTA-FEIRA,DIA UTIL,OUTUBRO,78.0,2.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80723.0,802.0,SABADO,FIM DE SEMANA,OUTUBRO,0.2,2.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80724.0,802.0,TERCA-FEIRA,DIA UTIL,OUTUBRO,0.6,2.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80723.0,802.0,QUARTA-FEIRA,DIA UTIL,OUTUBRO,0.2,2.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80723.0,802.0,SABADO,FIM DE SEMANA,OUTUBRO,0.6,2.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,91.0,76055599.0,80723.0,802.0,DOMINGO,FIM DE SEMANA,OUTUBRO,0.2,2.0
2022,MEDIAS CASAS,CASA DE SHOWS,METALCORE,67.0,3516097.0,3200.0,605.0,SABADO,FIM DE SEMANA,SETEMBRO,-26.0,0.0
2025,MEDIAS CASAS,CASA DE SHOWS,0,70.0,555100.0,3200.0,180.0,QUARTA-FEIRA,DIA UTIL,SETEMBRO,5.0,3.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,0,70.0,555100.0,55000.0,757.5,TERCA-FEIRA,DIA UTIL,SETEMBRO,46.0,3.0
2022,MEDIAS CASAS,CASA DE SHOWS,MPB,68.0,2615140.0,8000.0,350.0,SEXTA-FEIRA,DIA UTIL,MAIO,-73.66666666666667,11.0
2022,GRANDES CASAS,AREA EXTERNA PARA EVENTOS,MPB,68.0,2615140.0,12000.0,250.0,SABADO,FIM DE SEMANA,MAIO,4.0,11.0
