nome;data;ano;nome_local;lotacao
MATUE;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
ALOK;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
BEBE REXHA;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
LUISA SONZA;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
VEIGH;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
WIU;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
LEON BRIDGES;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
SEU JORGE;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
PAUL KALKBRENNER;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
LUCCAS CARLOS;03/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MAROON 5;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
THE CHAINSMOKERS;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
NE-YO;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
LUDMILLA;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MASEGO;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MARIA RITA;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MARVVILA;07/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
FOO FIGHTERS;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MC DON JUAN;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
PITTY;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
YEAH YEAH YEAHS;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
GARBAGE;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
YUNK VINO;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
WET LEG;09/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
BRUNO MARS;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
H.E.R.;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
IZA;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
PABLLO VITTAR;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
GLORIA GROOVE;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
JAO;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
KIM PETRAS;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
MARINA SENA;10/09/2023;2023;AUTODROMO DE INTERLAGOS;100000
AESPA;11/09/2023;2023;ESPACO UNIMED;8000
GILBERTO GIL;14/09/2023;2023;ESPACO UNIMED;7700
PERICLES;15/09/2023;2023;MEMORIAL DA AMERICA LATINA;4000
EDSON & HUDSON;15/09/2023;2023;VILLA COUNTRY;10000
GILBERTO GIL;15/09/2023;2023;ESPACO UNIMED;7900
GILBERTO GIL;16/09/2023;2023;ESPACO UNIMED;7500
FLORA MATOS;16/09/2023;2023;AUDIO;
JORGE BEN JOR;17/09/2023;2023;MEMORIAL DA AMERICA LATINA;0
GHOST;20/09/2023;2023;ESPACO UNIMED;8000
GHOST;21/09/2023;2023;ESPACO UNIMED;8000
LYNYRD SKYNYRD;22/09/2023;2023;ESPACO UNIMED;7000
LEGIAO URBANA;23/09/2023;2023;DISTRITO ANHEMBI;15000
NANDO REIS;23/09/2023;2023;DISTRITO ANHEMBI;15000
OS PARALAMAS DO SUCESSO;23/09/2023;2023;ARENA ANHEMBI;15000
PITTY;23/09/2023;2023;DISTRITO ANHEMBI;15000
CPM 22;23/09/2023;2023;DISTRITO ANHEMBI;15000
ROD STEWART;30/09/2023;2023;ALLIANZ PARQUE;30160
IVETE SANGALO;30/09/2023;2023;ALLIANZ PARQUE;30160
RAIMUNDOS;06/10/2023;2023;VIBRA SAO PAULO;7000
JOTA QUEST;08/10/2023;2023;VIBRA SAO PAULO;6000
THE WEEKND;10/10/2023;2023;ALLIANZ PARQUE;48000
KAYTRANADA;10/10/2023;2023;ALLIANZ PARQUE;48000
THE WEEKND;11/10/2023;2023;ALLIANZ PARQUE;48000
RACA NEGRA;11/10/2023;2023;ESPACO UNIMED;8000
KAYTRANADA;11/10/2023;2023;ALLIANZ PARQUE;48000
EVANESCENCE;21/10/2023;2023;ALLIANZ PARQUE;40000
JORGE BEN JOR;21/10/2023;2023;ESPACO UNIMED;8000
ROBERTO CARLOS;26/10/2023;2023;ESPACO UNIMED;8000
ROBERTO CARLOS;28/10/2023;2023;ESPACO UNIMED;8000
ROBERTO CARLOS;29/10/2023;2023;ESPACO UNIMED;8000
MANESKIN;03/11/2023;2023;ESPACO UNIMED;7912
HALSEY;04/11/2023;2023;ALLIANZ PARQUE;35000
MGK;04/11/2023;2023;ALLIANZ PARQUE;35000
SWEDISH HOUSE MAFIA;04/11/2023;2023;ALLIANZ PARQUE;35000
ALCEU VALENCA;04/11/2023;2023;TOKIO MARINE HALL;3000
KENDRICK LAMAR;05/11/2023;2023;ALLIANZ PARQUE;40000
THE LUMINEERS;05/11/2023;2023;ESPACO UNIMED;7000
IZA;05/11/2023;2023;ALLIANZ PARQUE;40000
THUNDERCAT;05/11/2023;2023;ALLIANZ PARQUE;40000
SOFI TUKKER;05/11/2023;2023;ALLIANZ PARQUE;40000
TASHA & TRACIE;05/11/2023;2023;ALLIANZ PARQUE;40000
EMICIDA;08/11/2023;2023;EXPO CENTER NORTE;0
ALTER BRIDGE;08/11/2023;2023;ESPACO UNIMED;7800
IN FLAMES;09/11/2023;2023;TOKIO MARINE HALL;2500
JORGE DREXLER;09/11/2023;2023;ESPACO UNIMED;3000
RED HOT CHILI PEPPERS;10/11/2023;2023;ESTADIO DO MORUMBI;71239
PABLLO VITTAR;10/11/2023;2023;VIBRA SAO PAULO;5600
LULU SANTOS;10/11/2023;2023;TOKIO MARINE HALL;3800
URIAS;10/11/2023;2023;VIBRA SAO PAULO;5600
RBD;12/11/2023;2023;ESTADIO DO MORUMBI;54316
RBD;13/11/2023;2023;ESTADIO DO MORUMBI;54316
ALANIS MORISSETTE;14/11/2023;2023;ALLIANZ PARQUE;50000
PITTY;14/11/2023;2023;ALLIANZ PARQUE;50000
GOJIRA;14/11/2023;2023;ESPACO UNIMED;8000
RBD;16/11/2023;2023;ALLIANZ PARQUE;54316
GLORIA GROOVE;17/11/2023;2023;ESPACO UNIMED;8000
OS PARALAMAS DO SUCESSO;17/11/2023;2023;VIBRA SAO PAULO;7000
RBD;17/11/2023;2023;ALLIANZ PARQUE;54316
RBD;18/11/2023;2023;ALLIANZ PARQUE;54316
DIANA KRALL;18/11/2023;2023;TOKIO MARINE HALL;4000
RBD;19/11/2023;2023;ALLIANZ PARQUE;54316
TAYLOR SWIFT;24/11/2023;2023;ALLIANZ PARQUE;50000
SABRINA CARPENTER;24/11/2023;2023;ALLIANZ PARQUE;50000
TAYLOR SWIFT;25/11/2023;2023;ALLIANZ PARQUE;50000
SABRINA CARPENTER;25/11/2023;2023;ALLIANZ PARQUE;50000
CAETANO VELOSO;25/11/2023;2023;ESPACO UNIMED;8000
TAYLOR SWIFT;26/11/2023;2023;ALLIANZ PARQUE;50000
SABRINA CARPENTER;26/11/2023;2023;ALLIANZ PARQUE;50000
CAETANO VELOSO;27/11/2023;2023;ESPACO UNIMED;8000
FKJ;29/11/2023;2023;AUDIO;
THE KILLERS;30/11/2023;2023;TOKIO MARINE HALL;4000
THE KILLERS;02/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
MARISA MONTE;02/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
PET SHOP BOYS;02/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
SLOWDIVE;02/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
THE HIVES;02/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
ANAVITORIA;03/12/2023;2023;ESPACO UNIMED;7000
THE CURE;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
CARLY RAE JEPSEN;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
BECK;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
MARINA SENA;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
MU540;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
BAD RELIGION;03/12/2023;2023;AUTODROMO DE INTERLAGOS;50000
PET SHOP BOYS;04/12/2023;2023;AUDIO;3200
GLORIA GROOVE;05/12/2023;2023;TRANSAMERICA EXPO CENTER;
PAUL MCCARTNEY;07/12/2023;2023;ALLIANZ PARQUE;49742
COLBIE CAILLAT;07/12/2023;2023;VIBRA SAO PAULO;
WESLEY SAFADAO;09/12/2023;2023;DISTRITO ANHEMBI;35000
DON TOLIVER;09/12/2023;2023;NEO QUIMICA ARENA;90000
PAUL MCCARTNEY;09/12/2023;2023;ALLIANZ PARQUE;49742
DJAVAN;09/12/2023;2023;VIBRA SAO PAULO;4200
SHECK WES;09/12/2023;2023;NEO QUIMICA ARENA;90000
MAJOR RD;09/12/2023;2023;NEO QUIMICA ARENA;90000
DEREK;09/12/2023;2023;NEO QUIMICA ARENA;90000
TASHA & TRACIE;09/12/2023;2023;NEO QUIMICA ARENA;90000
MATUE;10/12/2023;2023;NEO QUIMICA ARENA;100000
RODDY RICCH;10/12/2023;2023;NEO QUIMICA ARENA;100000
LIL DURK;10/12/2023;2023;NEO QUIMICA ARENA;100000
PAUL MCCARTNEY;10/12/2023;2023;ALLIANZ PARQUE;49742
TETO;10/12/2023;2023;NEO QUIMICA ARENA;100000
YUNK VINO;10/12/2023;2023;NEO QUIMICA ARENA;100000
ZECA PAGODINHO;15/12/2023;2023;VIBRA SAO PAULO;7000
CAROL BIAZIN;17/12/2023;2023;AUDIO;3200
TITAS;21/12/2023;2023;ALLIANZ PARQUE;50000
TITAS;22/12/2023;2023;ALLIANZ PARQUE;50000
TITAS;23/12/2023;2023;ALLIANZ PARQUE;50000
PABLLO VITTAR;19/01/2024;2024;VIBRA SAO PAULO;0
JAO;20/01/2024;2024;ALLIANZ PARQUE;50000
JAO;21/01/2024;2024;ALLIANZ PARQUE;47000
ANITTA;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
LUISA SONZA;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
TETO;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
WIU;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
CLAUDIA LEITTE;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
MANU;25/01/2024;2024;MEMORIAL DA AMERICA LATINA;20000
BACO EXU DO BLUES;26/01/2024;2024;ESPACO UNIMED;8000
MAIARA & MARAISA;27/01/2024;2024;ALLIANZ PARQUE;40000
RACIONAIS MC'S;27/01/2024;2024;VALE DO ANHANGABAU;10000
GLORIA GROOVE;27/01/2024;2024;ALLIANZ PARQUE;40000
TASHA & TRACIE;27/01/2024;2024;VALE DO ANHANGABAU;10000
ANITTA;04/02/2024;2024;MEMORIAL DA AMERICA LATINA;30000
JOAO GOMES;04/02/2024;2024;MEMORIAL DA AMERICA LATINA;30000
VEIGH;04/02/2024;2024;MEMORIAL DA AMERICA LATINA;30000
XAND AVIAO;04/02/2024;2024;MEMORIAL DA AMERICA LATINA;30000
DENNIS;04/02/2024;2024;MEMORIAL DA AMERICA LATINA;30000
TWICE;06/02/2024;2024;ALLIANZ PARQUE;37992
TWICE;07/02/2024;2024;ALLIANZ PARQUE;37992
MEN AT WORK;21/02/2024;2024;VIBRA SAO PAULO;
ANYMA;24/02/2024;2024;AUTODROMO DE INTERLAGOS;40000
SIMPLE PLAN;01/03/2024;2024;VIBRA SAO PAULO;7000
ZE RAMALHO;01/03/2024;2024;ESPACO UNIMED;7300
SIMPLE PLAN;02/03/2024;2024;ALLIANZ PARQUE;41717
ALL TIME LOW;02/03/2024;2024;ALLIANZ PARQUE;41717
THE ALL-AMERICAN REJECTS;02/03/2024;2024;ALLIANZ PARQUE;41717
LAURA PAUSINI;02/03/2024;2024;ESPACO UNIMED;5111
PITTY;02/03/2024;2024;ALLIANZ PARQUE;41717
A DAY TO REMEMBER;02/03/2024;2024;ALLIANZ PARQUE;41717
ASKING ALEXANDRIA;02/03/2024;2024;ALLIANZ PARQUE;41717
MAYDAY PARADE;02/03/2024;2024;ALLIANZ PARQUE;41717
PLAIN WHITE T'S;02/03/2024;2024;ALLIANZ PARQUE;41717
THE USED;02/03/2024;2024;ALLIANZ PARQUE;41717
BOYS LIKE GIRLS;02/03/2024;2024;ALLIANZ PARQUE;41717
KING KRULE;02/03/2024;2024;TERRA SP;2500
LAURA PAUSINI;03/03/2024;2024;ESPACO UNIMED;4500
BAMBAM;05/03/2024;2024;VIBRA SAO PAULO;6800
ALCIONE;08/03/2024;2024;ESPACO UNIMED;6900
MARIA BETHANIA;09/03/2024;2024;ESPACO UNIMED;3200
MARIA BETHANIA;10/03/2024;2024;ESPACO UNIMED;3200
PLACEBO;17/03/2024;2024;ESPACO UNIMED;
RADWIMPS;21/03/2024;2024;TERRA SP;3900
BLINK-182;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
THE OFFSPRING;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
LUISA SONZA;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
DIPLO;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
ARCADE FIRE;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MANEVA;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
JUNGLE;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
MARCELO D2;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
FLETCHER;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
THE BLAZE;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
DOM DOLLA;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
LOURENA;22/03/2024;2024;AUTODROMO DE INTERLAGOS;80000
LUIS MIGUEL;23/03/2024;2024;ALLIANZ PARQUE;24207
