nome;id_spotify;generos;popularidade;seguidores;imagem;fonte
21 Savage;1URnnhqYAYcrqrcwql10ft;hip hop;85;23995614;https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2;LETTER_2
Nirvana;6olE6TJLqED3rqDCT0FyPh;grunge, rock;82;23573131;https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b;GENRE_1
TWICE;7n2Ycct7Beij7Dj7meI4X0;k-pop;83;23523182;https://i.scdn.co/image/ab6761610000e5eb3d8820046fd455b38d644864;GENRE_1
Armaan Malik;4IKVDbCSBTxBeAsMKjAuTs;bollywood, hindi pop, kannada pop, tollywood, telugu pop;72;23480974;https://i.scdn.co/image/ab6761610000e5eb304d3dd0ed0fef6a64ba1dd7;LETTER_1
Avicii;1vCWHaC5f2uS3yhpwWbIA6;edm;80;23456523;https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113;LETTER_1
Gusttavo Lima;7MiDcPa6UiV3In7lIM71IN;sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró;79;23371108;https://i.scdn.co/image/ab6761610000e5eb08cacf062848b7318679b1b4;GENRE_1
Red Hot Chili Peppers;0L8ExT028jH3ddEcZwqJJ5;funk rock, alternative rock, rock;84;23344771;https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8;GENRE_1
Calvin Harris;7CajNmpbOovFoOoasH2HaY;edm;85;23107073;https://i.scdn.co/image/ab6761610000e5eb1e4bcd2bef1896648762dd6b;LETTER_1
Karan Aujla;6DARBhWbfcS9E4yJzcliqQ;punjabi pop, punjabi hip hop, bhangra, desi hip hop, desi;82;23027750;https://i.scdn.co/image/ab6761610000e5eb8a4c60d0eebe893f72e42979;GENRE_1
Zé Neto & Cristiano;487N2T9nIPEHrlTZLL3SQs;sertanejo, sertanejo universitário, agronejo, arrocha;80;22937866;https://i.scdn.co/image/ab6761610000e5ebc76b86b0ae0aec212d7eea0f;GENRE_1
Future;1RyvyyTE3xzB2ZywiAwp0i;rap;89;22847812;https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb;LETTER_1
Pink Floyd;0k17h0D3J5VfsdmQ1iZtE9;progressive rock, psychedelic rock, classic rock, art rock, rock;80;22815330;https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c;GENRE_1
2Pac;1ZwdS5xdxEREPySFridCfh;old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop;79;22706005;https://i.scdn.co/image/ab6761610000e5eb7f5cc432c9c109248ebec1ac;LETTER_1
Sonu Nigam;1dVygo6tRFXC8CSWURQJq2;kannada pop, bollywood, sandalwood, hindi pop, desi, marathi pop;79;22669552;https://i.scdn.co/image/ab6761610000e5ebbc959d7569618ec2af2210f5;GENRE_1
Halsey;26VFTg2z8YR0cCuwLzESi2;pop;82;22444334;https://i.scdn.co/image/ab6761610000e5eb15136101a0f63f0b2800b9dc;GENRE_1
S. P. Balasubrahmanyam;2ae6PxICSOZHvjqiCcgon8;telugu pop, kannada pop, tamil pop, devotional, tollywood, sandalwood, kollywood;81;22367083;https://i.scdn.co/image/ab6761610000e5ebea2b56271cf92bcff45c0ae9;GENRE_1
Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;pop;76;22244787;https://i.scdn.co/image/ab6761610000e5eb77ecd63aaebe2225b07c89f0;GENRE_1
Myke Towers;7iK8PXO48WeuP03g8YR51W;reggaeton, trap latino, urbano latino;86;22168748;https://i.scdn.co/image/ab6761610000e5eb8372345609bebaf1e948ef7f;GENRE_2
Guru Randhawa;5rQoBDKFnd1n6BkdbgVaRL;bhangra, punjabi pop, desi, bollywood, hindi pop, desi pop;74;22145628;https://i.scdn.co/image/ab6761610000e5eb531f6fb5759f44e7c3d707d6;LETTER_1
The Neighbourhood;77SW9BnxLY8rJ0RciFqkHh;indie;86;21823328;https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816;GENRE_2
Udit Narayan;70B80Lwx2sxti0M1Ng9e8K;bollywood, hindi pop, desi;82;21808284;https://i.scdn.co/image/ab6761610000e5eb8de0e6e7e55d7773931ab7f4;LETTER_2
Natanael Cano;0elWFr7TW8piilVRYJUe4P;corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño, electro corridos, música mexicana, banda;85;21807160;https://i.scdn.co/image/ab6761610000e5eb0d4838ef7ef6c0f889266f60;GENRE_1
Lil Baby;5f7VJjfbwm532GiveGC0ZK;hip hop;86;21797103;https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd;LETTER_1
KK;4fEkbug6kZzzJ8eYX6Kbbp;bollywood, hindi pop, desi;78;21753062;https://i.scdn.co/image/ab6761610000e5ebb09a31f853166e721d4d46b2;GENRE_1
The Chainsmokers;69GGBxA162lTqCwzJG5jLp;edm;81;21398553;https://i.scdn.co/image/ab6761610000e5eb4567279fac84a0375c3d819b;GENRE_1
Jubin Nautiyal;1tqysapcCh1lWEAc9dIFpa;bhajan, hindi pop, bollywood, devotional;76;21362619;https://i.scdn.co/image/ab6761610000e5eb716a9e718655bd0374073ef7;LETTER_1
Kumar Sanu;4K6blSRoklNdpw4mzLxwfn;bollywood, hindi pop;79;21301190;https://i.scdn.co/image/ab6761610000e5ebc7d2a4212ee745b2c72298e0;LETTER_1
Stray Kids;2dIgFjalVxs4ThymZ67YCE;k-pop, noise music;85;21247892;https://i.scdn.co/image/ab6761610000e5ebf9887d2c9288f0e50a3fd69f;GENRE_1
James Arthur;4IWBUUAFIplrNtaOHcJPRM;soft pop;80;20921667;https://i.scdn.co/image/ab6761610000e5eb5a55e66595e80fb12dc5f5fa;GENRE_1
Alka Yagnik;3gBKY0y3dFFVRqicLnVZYz;bollywood, hindi pop, desi;82;20726691;https://i.scdn.co/image/ab6761610000e5eb935b2dd507212bd72a71d7f9;GENRE_1
Luis Miguel;2nszmSgqreHSdJA3zWPyrW;mariachi, bolero, latin pop, ranchera, villancicos;83;20707647;https://i.scdn.co/image/ab6761610000e5eb6481401e529e475116702a29;GENRE_1
Nicky Jam;1SupJlEpv7RS2tPNRaHViT;reggaeton, latin;82;20682023;https://i.scdn.co/image/ab6761610000e5eb45780f160ed896e42b6d17b0;GENRE_2
Kishore Kumar;0GF4shudTAFv8ak9eWdd4Y;ghazal, bangla pop, hindi pop, bollywood;77;20543703;https://i.scdn.co/image/ab6761610000e5ebc9ac92d87de28795c1c49730;LETTER_1
Camilo;28gNT5KBp7IjEOQoevXf9N;colombian pop, pop urbano;79;20486833;https://i.scdn.co/image/ab6761610000e5ebadd0f250a8602d9bb093161f;GENRE_1
Frank Ocean;2h93pZq0e7k5yf4dywlkpM;indie;85;20457070;https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab;GENRE_2
Fuerza Regida;0ys2OFYzWYB5hRDLCsBqxt;corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño;91;20447270;https://i.scdn.co/image/ab6761610000e5eb158a3d24a31166b983e26325;GENRE_1
V;3JsHnjpbhX4SnySpvpa9DK;k-pop;76;20136722;https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2;GENRE_1
Sid Sriram;7qjJw7ZM2ekDSahLXPjIlN;tollywood, telugu pop, tamil pop, kollywood;77;19994053;https://i.scdn.co/image/ab6761610000e5ebef6a8800763bf428e85940a6;LETTER_2
Cartel De Santa;07PdYoE4jVRF6Ut40GgVSP;mexican hip hop, latin hip hop;78;19612591;https://i.scdn.co/image/ab6761610000e5eb72d02b5f21c6364c3d1928d7;GENRE_2
j-hope;0b1sIQumIAsNbqAoIClSpy;k-pop, k-rap;79;19349479;https://i.scdn.co/image/ab6761610000e5eb25c2401c3595f0ac35e19b98;GENRE_1
Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;melodic rap;83;19332826;https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9;LETTER_1
Tulus;2iDVt6mFbtbDEZG5ax0dTi;indonesian pop, indonesian jazz, indonesian indie;74;19289947;https://i.scdn.co/image/ab6761610000e5eb53462891ab7799f2934b568e;GENRE_2
Banda MS de Sergio Lizárraga;2C6i0I5RiGzDKN9IAF8reh;banda, norteño, grupera, música mexicana, ranchera, corrido;80;19226663;https://i.scdn.co/image/ab6761610000e5ebf49a3377cacbeb4fc157949d;GENRE_2
Mahalini;3wOsYKZM0zcKNasi3I7fP4;indonesian pop, malay;73;19126714;https://i.scdn.co/image/ab6761610000e5ebd3564043a332daaa882853d6;LETTER_1
50 Cent;3q7HBObVc0L8jNeTe5Gofh;east coast hip hop, old school hip hop;84;19065655;https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2;LETTER_1
Feid;2LRoIwlKmHjgvigdNGBHNo;reggaeton, urbano latino;87;19042214;https://i.scdn.co/image/ab6761610000e5eb600ee3d2a14da8d038fa7bbf;GENRE_2
OneRepublic;5Pwc4xIPtQLFEnJriah9YJ;soft pop;82;18778229;https://i.scdn.co/image/ab6761610000e5eb587687df50a967731901fcc2;GENRE_1
Jung Kook;6HaGTQPmzraVmaVxvz6EUc;k-pop;81;18747443;https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960;GENRE_1
Bizarrap;716NhGYqD1jl2wI1Qkgq36;argentine trap, trap latino, urbano latino;81;18287480;https://i.scdn.co/image/ab6761610000e5eb14add0d3419426b84158b913;GENRE_2
P!nk;1KCSPY1glIKqW2TotWuXOR;pop rock;79;18248675;https://i.scdn.co/image/ab6761610000e5eb7bbad89a61061304ec842588;GENRE_1
Lil Wayne;55Aa2cqylxrFIXC767Z865;rap, hip hop;87;18073707;https://i.scdn.co/image/ab6761610000e5eb998010cd1075921b5faf16b2;LETTER_1
Arcángel;4SsVbpTthjScTS7U2hmr1X;reggaeton, trap latino, urbano latino;84;17949878;https://i.scdn.co/image/ab6761610000e5eb188fba614da521f737b24f9e;GENRE_2
Britney Spears;26dSoYclwsYLMAKD3tpOr4;pop;82;17906350;https://i.scdn.co/image/ab6761610000e5eb26e59b825251b7df20a7b65e;GENRE_1
RM;2auC28zjQyVTsiZKNgPRGs;k-pop, k-rap;71;17777206;https://i.scdn.co/image/ab6761610000e5eb847fe9bbfef3acf7981acd2a;GENRE_1
Sunidhi Chauhan;3eDT9fwXKuHWFvgZaaYC5v;bollywood, desi, hindi pop;76;17637402;https://i.scdn.co/image/ab6761610000e5eba45f7ef3e1c982461f2dad6b;LETTER_2
Cigarettes After Sex;1QAJqy2dA3ihHBFIHRphZj;dream pop;85;17557432;https://i.scdn.co/image/ab6761610000e5eb1c312be98c615df97ea79a30;GENRE_1
Carín León;66ihevNkSYNzRAl44dx6jJ;banda, norteño, sierreño, corrido, ranchera, grupera, sad sierreño;84;17549199;https://i.scdn.co/image/ab6761610000e5eb69543997b9f68a0d2bb37a4a;GENRE_2
Green Day;7oPftvlwr6VrsViSDV7fJY;punk, pop punk;81;17427311;https://i.scdn.co/image/ab6761610000e5eb6ff0cd5ef2ecf733804984bb;GENRE_1
